RECID,FIRSTNAME,LASTNAME,ADDRESS,CITY,STATE,ZIP,SSN,IDTRUTH
A994281,BARBIE,CHAVZE,11R881 GULF POINTE DR,HOUSTON,TEXAS,77089,,1
A993286,,CHAVEZ,4149 WALSH LN,GRAQND PRAIRIE,TEXAS,75052,10525947,1
A969374,BRABARA,CHAVEZ,2943 N COTTONWOOD ST,ORANGEC,CALIFORNIA,92865,100525974,1
A968925,,CHAVEZ,2943 N COTTONWOOD ST,ORANGE,CALIFORNIA,92865,,1
A935183,BARBARA,CHAVEZ,11881 GULF POINTE DR,HOUSTON,TEXAS,77089,10525974,1
A933400,BARBY,CHAVEZ,11881 GULF POINTE DR,HOUSTON,TEXAS,77089,10552974,1
A915784,B,CHAVEZ,9247 TOBIAES AVE,PNORAMA CITY,CALIFORNIA,91402,10525974,1
A912969,BARBAAR,MYERS-CHRISTIAN,3536 N BERLIN AVE,FRESNO,CALIFORNIA,93722,10525974,1
A976269,CLYDE,MYERS-CHRISTIAN,10237 CASANES AVE,DOWNEY,CALIFORNIA,90241,10534576,2
A950002,CLYDE,MYERS-CHRISTIAN,3536 N BERLINAV,FRESNO,CALIFORNIA,93722,10534576,2
A938933,CLYDE,MYERS-CHRISTIAN,9247 TOBIAS AVE,ANORAMA CITY,CALIFORNIA,91402,10354576,2
A916465,CLYDE,MYERS-CHRISTIAN,2943 N COTTONWOOD ST,ORANGE,CALIFORNIA,92865,10534576,2
A912375,M,MYERS-CHRISTIAN,2943 N COTTONWOOD ST,ORANGE,CALIFONIA,92865,,2
A969253,,PERIEZ,18725 E LINFIELD ST,AZUSA,CAD,91702,,3
A934050,MARCELA,VILLA,18725 E LNFIELD ST,AZUSA,CALIFORNIA,91702,10554596,3
A919621,MARCELA,VILLA,18725 E LINFIELD ST,AZUSA,CALIFORNIA,91702,10554596,3
A985408,LUIS,PEREZ,333 W GARVEY AVE,MONTEREY PARK,CALIFORNIA,91754,,4
A984365,LUIS,PREEZ,18725 E LINFIELD ST,AZUSA,CALIFORNIA,91702,10556754,4
A981834,LIUS,PEREZ,742 LIMESTONE AVE,LATHROP,CALIFORNIA,95330,10556754,4
A971286,LUIS,PEEZ,4265 NORH CORDOBA ST,SPRING VALLEY,CALIFORNIA,91977,10565754,4
A934452,LUIS,PEREZ,4265 N CORDOBA ST,SPRING VALLY,CALIFORNIA,91977,10556754,4
A928400,,PEREZ,742 LIMESTONE AVE,LATHROP,CALIFORNIFA,95330,10556754,4
A925730,LUIS,PEREZ,4265 N CORDOBA ST,SPRING VALLEY,CALIFORNIA,91977,,4
A918703,LUIS,PEREZ,1872 E LINFIELD ST,AZUSHA,CALIFORNIA,91702,10556754,4
A991944,ERNE,HENRY,11 BURLWOOD CT,PITTSBURG,CALIFORNIA,94565,10560983,5
A982475,RENE,HENRY,11 BURLWOOD CT,PITTSBURG,CALIFORNIA,94565,10560983,5
A981547,REEN,HENRY,231 W TARRINGTON DR,DELANID,FLORIDA,32724,10560983,5
A934206,RENE,HENRY,2869 EL MONTE WAY,SAN JOSE,CALIFORNIA,95127,,5
A916427,RENE,HENRY,11 BURLWOOD CT,PITTSBURG,CALIFORNIA,94565,10560983,5
A910851,R,HENRY,41 FPREEMONT TURN,PALM COAST,FLORIDA,32137,,5
A965405,CLINTON,REYES,190T11 DIABLO RD,MADERA,CALIFORNIA,93638,10608985,6
A963724,R,REYES,41 FREEMONT TURN,PALM COAS,FLORIDA,32137,10608985,6
A938598,LCINTON,REYES,4781 CLIRE DR,OCEANSIDE,CALIFORNIA,92057,10608985,6
